timestamp,username,action,modulo,details,result
2026-05-20 18:40:50,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:42:27,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:42:33,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:42:51,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:01,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:13,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:15,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:17,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:17,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:32,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:43:39,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:44:03,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:46:35,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:46:44,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:46:45,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:46:54,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:47:42,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:48:58,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:48:58,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:49:27,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:50:08,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:50:10,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:50:44,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:50:44,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:52:39,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:54:02,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:54:02,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:54:21,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:54:22,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 18:54:33,archivo_admin,Login Success,Archivo,Roles: {'Archivo': 'Admin'},Success
2026-05-20 18:55:59,archivo_admin,Login Success,Archivo,Roles: {'Archivo': 'Admin'},Success
